cand,mean_f1,std_f1,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,n_estimators,random_state
138,0.9859523798753049,0.002256335623089146,8.0,2,5,0.75,balanced,300,42
137,0.9859511966392942,0.0022450887675849332,8.0,2,5,0.75,balanced_subsample,300,42
132,0.9859500058769679,0.0021105841473387592,8.0,2,2,0.75,balanced,300,42
159,0.9859219640256462,0.002230017197039878,8.0,4,10,0.5,balanced_subsample,300,42
147,0.9859197029677798,0.002184498969617325,8.0,4,2,0.5,balanced_subsample,300,42
153,0.9859197029677798,0.002184498969617325,8.0,4,5,0.5,balanced_subsample,300,42
131,0.9859065505036895,0.0021990877721062277,8.0,2,2,0.75,balanced_subsample,300,42
160,0.9857873295896568,0.0019824494940983094,8.0,4,10,0.5,balanced,300,42
150,0.9857366164804919,0.001961082291311326,8.0,4,2,0.75,balanced,300,42
156,0.9857366164804919,0.001961082291311326,8.0,4,5,0.75,balanced,300,42
149,0.985734257876935,0.002051657851953927,8.0,4,2,0.75,balanced_subsample,300,42
155,0.985734257876935,0.002051657851953927,8.0,4,5,0.75,balanced_subsample,300,42
162,0.9856930241474597,0.0019666635168196956,8.0,4,10,0.75,balanced,300,42
161,0.9856916550032733,0.002052943271309448,8.0,4,10,0.75,balanced_subsample,300,42
216,0.979504106353928,0.0023032103312212587,6.0,4,10,0.75,balanced,300,42
204,0.9794197663595312,0.002576797197266896,6.0,4,2,0.75,balanced,300,42
210,0.9794197663595312,0.002576797197266896,6.0,4,5,0.75,balanced,300,42
215,0.9792523642540953,0.0026721260606951576,6.0,4,10,0.75,balanced_subsample,300,42
174,0.9792187252392047,0.0023115846339706644,6.0,1,5,0.75,balanced,300,42
186,0.9792101229093628,0.002672126429877673,6.0,2,2,0.75,balanced,300,42
192,0.9792094250952857,0.0026104314497017883,6.0,2,5,0.75,balanced,300,42
167,0.9792080730179287,0.0028471164012142665,6.0,1,2,0.75,balanced_subsample,300,42
168,0.9791691996992148,0.002700748878856903,6.0,1,2,0.75,balanced,300,42
198,0.9791651518009168,0.002341907072323049,6.0,2,10,0.75,balanced,300,42
179,0.9791648132410001,0.002694396732876071,6.0,1,10,0.75,balanced_subsample,300,42
197,0.9790388991636867,0.002043456140585493,6.0,2,10,0.75,balanced_subsample,300,42
203,0.9789043840463514,0.002364636356929318,6.0,4,2,0.75,balanced_subsample,300,42
209,0.9789043840463514,0.002364636356929318,6.0,4,5,0.75,balanced_subsample,300,42
185,0.9789032327553997,0.0023616303993669093,6.0,2,2,0.75,balanced_subsample,300,42
180,0.9788188595776436,0.0024475682957301945,6.0,1,10,0.75,balanced,300,42
173,0.9788167586758068,0.0023336116848754274,6.0,1,5,0.75,balanced_subsample,300,42
191,0.9787284346520787,0.0020366757698964543,6.0,2,5,0.75,balanced_subsample,300,42
214,0.9779551639162539,0.0015094840321644594,6.0,4,10,0.5,balanced,300,42
184,0.9778334085044011,0.0019144181190343156,6.0,2,2,0.5,balanced,300,42
166,0.9777883180806471,0.0019638783664076135,6.0,1,2,0.5,balanced,300,42
172,0.9777452791996811,0.0019170084526977892,6.0,1,5,0.5,balanced,300,42
178,0.9777415045552029,0.0020260561137092296,6.0,1,10,0.5,balanced,300,42
201,0.9777377306875662,0.0022515008336496172,6.0,4,2,0.5,balanced_subsample,300,42
207,0.9777377306875662,0.0022515008336496172,6.0,4,5,0.5,balanced_subsample,300,42
165,0.9777023839863002,0.0020685000071102837,6.0,1,2,0.5,balanced_subsample,300,42
195,0.9777003324418215,0.0021781463211430776,6.0,2,10,0.5,balanced_subsample,300,42
190,0.9776985897826286,0.001870439250549511,6.0,2,5,0.5,balanced,300,42
183,0.9776980169553579,0.0020808731905748285,6.0,2,2,0.5,balanced_subsample,300,42
171,0.977697721372478,0.002186779995741881,6.0,1,5,0.5,balanced_subsample,300,42
202,0.9776964803895385,0.00196108709757413,6.0,4,2,0.5,balanced,300,42
208,0.9776964803895385,0.00196108709757413,6.0,4,5,0.5,balanced,300,42
213,0.9776945357562852,0.0021777994104982003,6.0,4,10,0.5,balanced_subsample,300,42
177,0.9776571928750831,0.0020245570888276876,6.0,1,10,0.5,balanced_subsample,300,42
196,0.9776534794952519,0.0019237137841030337,6.0,2,10,0.5,balanced,300,42
189,0.9776120838047536,0.0021865402926830382,6.0,2,5,0.5,balanced_subsample,300,42
163,0.9775776982020961,0.0024733636133659432,6.0,1,2,sqrt,balanced_subsample,300,42
176,0.9775759690186735,0.0025957476533254643,6.0,1,10,sqrt,balanced,300,42
181,0.9775702107198478,0.0024698227700164456,6.0,2,2,sqrt,balanced_subsample,300,42
170,0.9775351268374568,0.002432171825006554,6.0,1,5,sqrt,balanced,300,42
193,0.9775334088746368,0.0023216211581799043,6.0,2,10,sqrt,balanced_subsample,300,42
175,0.977487791183145,0.002701447939640796,6.0,1,10,sqrt,balanced_subsample,300,42
164,0.9774468832123875,0.002543610175394684,6.0,1,2,sqrt,balanced,300,42
188,0.9774452439825811,0.0024383542499664753,6.0,2,5,sqrt,balanced,300,42
194,0.9774411854441997,0.0025319017341080665,6.0,2,10,sqrt,balanced,300,42
187,0.9774388368833951,0.0025407601972188237,6.0,2,5,sqrt,balanced_subsample,300,42
169,0.9773572868056037,0.00243034900501428,6.0,1,5,sqrt,balanced_subsample,300,42
182,0.9773548964616896,0.0023700040977083156,6.0,2,2,sqrt,balanced,300,42
199,0.977354829110007,0.0023345461962054038,6.0,4,2,sqrt,balanced_subsample,300,42
205,0.977354829110007,0.0023345461962054038,6.0,4,5,sqrt,balanced_subsample,300,42
211,0.9773529056882945,0.0024352353137921884,6.0,4,10,sqrt,balanced_subsample,300,42
200,0.977349066489702,0.0025461245802698095,6.0,4,2,sqrt,balanced,300,42
206,0.977349066489702,0.0025461245802698095,6.0,4,5,sqrt,balanced,300,42
212,0.9772174429421445,0.0022970821635869,6.0,4,10,sqrt,balanced,300,42
