dataset_id,window_start,e_conn_count,e_unique_dst_ip,e_unique_dst_port,e_mean_duration,e_std_duration,e_mean_orig_bytes,e_mean_resp_bytes,e_mean_orig_pkts,e_mean_resp_pkts,e_tcp_ratio,e_udp_ratio,e_dns_ratio,e_ssl_ratio,e_http_ratio,e_rej_ratio,e_rst_ratio,e_interarrival_std,y
example2,1609877205,14,9,4,1.085275357142857,2.6472368022484614,12.0,43.07142857142857,1.6428571428571428,1.2142857142857142,0.7857142857142857,0.21428571428571427,0.21428571428571427,0.0,0.0,0.42857142857142855,0.42857142857142855,0.30909100810321133,2
example2,1609877210,8,6,2,0.445236375,0.9838472968809664,0.0,0.0,1.25,0.25,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.6334443631108453,2
example2,1609877215,4,3,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1345886888442847,2
example2,1609877220,6,3,2,0.10924149999999999,0.08504531312531768,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.33893296166247083,2
example2,1609877225,2,2,1,0.063743,0.063743,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2
example2,1609877240,4,1,1,0.1889945,0.03171062273513405,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.007483253788901152,2
example2,1609877245,2,2,2,0.0664365,0.0664365,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2
example2,1609877255,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example2,1609877260,4,1,1,0.15609275,0.021201664113637397,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.027458575472746074,2
example2,1609877265,2,2,2,0.1031775,0.1031775,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2
example2,1609877280,1,1,1,87.468919,0.0,955.0,81001.0,51.0,62.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example2,1609877295,53,20,4,2.366549094339623,4.56135820361888,184.79245283018867,1412.132075471698,6.0,6.2075471698113205,0.660377358490566,0.33962264150943394,0.33962264150943394,0.16981132075471697,0.0,0.20754716981132076,0.3018867924528302,0.10487455363905353,2
example2,1609877300,17,10,4,1.7947132352941175,3.0755980169989234,114.41176470588235,889.6470588235294,3.5294117647058822,2.8823529411764706,0.5882352941176471,0.4117647058823529,0.4117647058823529,0.11764705882352941,0.0,0.0,0.058823529411764705,0.36441268254651243,2
example2,1609877305,15,10,4,6.068369866666667,18.450354645781125,182.46666666666667,1187.2,5.533333333333333,4.666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.0,0.0,0.06666666666666667,0.3211167982479945,2
example2,1609877310,14,10,5,2.1018157142857143,6.293169806099585,81.28571428571429,819.2142857142857,2.642857142857143,2.2142857142857144,0.7142857142857143,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.530152906712882,2
example2,1609877315,32,13,4,1.04943653125,2.2436876593601576,32.0625,255.15625,1.96875,1.46875,0.71875,0.28125,0.28125,0.0,0.0,0.4375,0.4375,0.13907407341699168,2
example2,1609877320,15,9,4,1.0787008666666666,1.4077650582546253,28.066666666666666,41.266666666666666,1.8,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,0.1515584672726459,2
example2,1609877325,9,8,3,1.6043356666666666,2.4665900290136045,146.11111111111111,1001.2222222222222,3.7777777777777777,3.3333333333333335,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.5873727594932904,2
example2,1609877330,6,6,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9734139091348434,2
example2,1609877335,4,4,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717440087350682,2
example2,1609877340,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example2,1609877370,1,1,1,15.274112,0.0,1023.0,80873.0,59.0,61.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example2,1609877380,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example2,1609877385,26,12,4,0.27809,0.18732178267273752,132.8846153846154,1186.423076923077,3.8846153846153846,3.769230769230769,0.6153846153846154,0.38461538461538464,0.38461538461538464,0.2692307692307692,0.0,0.0,0.0,0.0324019028672049,2
example3,1609877760,52,29,4,2.9113608846153847,9.04092989656068,2010.4423076923076,618.9807692307693,4.5,3.3461538461538463,0.7115384615384616,0.28846153846153844,0.28846153846153844,0.038461538461538464,0.0,0.17307692307692307,0.17307692307692307,0.09941063181497309,2
example3,1609877765,43,23,4,1.6718493953488371,3.7896683856087003,76.13953488372093,620.3255813953489,2.813953488372093,2.3255813953488373,0.7209302325581395,0.27906976744186046,0.27906976744186046,0.023255813953488372,0.0,0.2558139534883721,0.27906976744186046,0.11721745849176383,2
example3,1609877770,19,19,2,0.3448771052631579,1.4631896388453944,38.05263157894737,287.5263157894737,1.5263157894736843,0.8421052631578947,1.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.27717494009472093,2
example3,1609877775,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example3,1609877780,3,3,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06262743473052979,2
example3,1609877795,5,5,3,15.407592600000001,6.73304844734284,24887.4,19384.6,33.4,36.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.48978050324724276,2
